Average energy; Day of death; Free fields; Animals; Plants; Most popular genome
10;0;91;3;6;[2, 6, 3, 3, 2]
10;0;90;3;7;[2, 6, 3, 3, 2]
9;0;90;4;8;[2, 6, 3, 3, 2]
9;0;88;4;8;[2, 6, 3, 3, 2]
9;0;87;4;9;[2, 6, 3, 3, 2]
9;0;86;4;10;[2, 6, 3, 3, 2]
9;0;85;4;11;[2, 6, 3, 3, 2]
11;5;85;3;12;[2, 6, 3, 3, 2]
34;8;86;1;13;[2, 6, 3, 3, 2]
34;8;86;1;13;[2, 6, 3, 3, 2]
34;8;85;1;14;[2, 6, 3, 3, 2]
34;8;84;1;15;[2, 6, 3, 3, 2]
34;8;83;1;16;[2, 6, 3, 3, 2]
34;8;82;1;17;[2, 6, 3, 3, 2]
34;8;81;1;18;[2, 6, 3, 3, 2]
34;8;80;1;19;[2, 6, 3, 3, 2]
34;8;79;1;20;[2, 6, 3, 3, 2]
34;8;79;1;20;[2, 6, 3, 3, 2]
34;8;78;1;21;[2, 6, 3, 3, 2]
34;8;77;1;22;[2, 6, 3, 3, 2]
34;8;76;1;23;[2, 6, 3, 3, 2]
34;8;75;1;24;[2, 6, 3, 3, 2]
34;8;74;1;25;[2, 6, 3, 3, 2]
34;8;73;1;26;[2, 6, 3, 3, 2]
34;8;72;1;27;[2, 6, 3, 3, 2]
0;12;72;0;28;[]
0;12;71;0;29;[]
0;12;70;0;30;[]
0;12;69;0;31;[]
0;12;68;0;32;[]
0;12;67;0;33;[]
0;12;66;0;34;[]
0;12;65;0;35;[]
